title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
Portal 2,2010-2015,Valve,Platformer,Sci-Fi,Xbox360,not specified,95,8.7
Metal Gear Solid V: The Phantom Pain,2010-2015,Konami,Action Adventure,Open-World,XboxOne,1 to 16,95,7.4
Portal 2,2010-2015,Valve,Platformer,Sci-Fi,PlayStation3,not specified,95,8.5
World of Goo,2005-2010,Nintendo,Puzzle,2D,Wii,1 to 4,94,8.7
BioShock Infinite,2010-2015,2kGames,FPS,Sci-Fi,PlayStation3,No Online Multiplayer,94,8.5
Final Fantasy IX,1995-2000,SquareEnix,JRPG,Fantasy,PlayStation,1 Player,94,8.9
Call of Duty: Modern Warfare 2,2005-2010,Activision,FPS,Modern,PlayStation3,1 to 18,94,6.4
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,PlayStation2,1 to 8,94,8.4
Devil May Cry,2000-2005,Capcom,Action Adventure,Fantasy,PlayStation2,1 Player,94,8.6
Call of Duty 4: Modern Warfare,2005-2010,Activision,FPS,Modern,PlayStation3,1  to 18,94,8.4
Madden NFL 2002,2000-2005,EA,Sports,Football,PlayStation2,1 to 8,94,7.4
God of War,2015-2020,SonyInteractiveEntertainment,Action Adventure,Linear,PlayStation4,No Online Multiplayer,94,9.1
Batman: Arkham City,2010-2015,RocksteadyStudios,Action Adventure,Open-World,Xbox360,No Online Multiplayer,94,8.7
The Elder Scrolls V: Skyrim,2010-2015,BethesdaSoftworks,Action RPG,Fantasy,PC,No Online Multiplayer,94,8.2
Mass Effect 2,2005-2010,EA,Action RPG,Sci-Fi,PC,No Online Multiplayer,94,8.8
The Legend of Zelda: Ocarina of Time 3D,2010-2015,Nintendo,Action Adventure,Fantasy,3DS,No Online Multiplayer,94,8.9
Chrono Cross,1995-2000,SquareEnix,JRPG,Fantasy,PlayStation,1 Player,94,8.2
BioShock,2005-2010,2kGames,FPS,Sci-Fi,PlayStation3,No Online Multiplayer,94,8.7
Mass Effect 2,2010-2015,EA,Action RPG,Sci-Fi,PlayStation3,No Online Multiplayer,94,8.5
Grand Theft Auto: Vice City,2000-2005,RockstarGames,Action Adventure,Open-World,PC,No Online Multiplayer,94,8.8
Madden NFL 2004,2000-2005,EA,Sports,Football,PlayStation2,1 to 8,94,8.4
Gears of War,2005-2010,XboxGamesStudios,Action,Sci-Fi,Xbox360,8  Online,94,8.3
The Elder Scrolls IV: Oblivion,2005-2010,BethesdaSoftworks,Action RPG,Fantasy,Xbox360,No Online Multiplayer,94,8.7
Sid Meier's Civilization II,1995-2000,MicroProse,Strategy,Historic,PC,1 Player,94,8.9
Quake,1995-2000,IdSoftware,FPS,Sci-Fi,PC,1 to 16,94,8.8
Call of Duty 4: Modern Warfare,2005-2010,Activision,FPS,Modern,Xbox360,1 to 18,94,8.5
BioShock Infinite,2010-2015,2kGames,FPS,Sci-Fi,PC,No Online Multiplayer,94,8.6
Halo 3,2005-2010,XboxGamesStudios,FPS,Sci-Fi,Xbox360,1 to 4,94,7.9
Ninja Gaiden Black,2000-2005,Tecmo,Action Adventure,Fantasy,Xbox,1 Player,94,8.7
The Elder Scrolls IV: Oblivion,2005-2010,BethesdaSoftworks,Action RPG,Fantasy,PC,No Online Multiplayer,94,8.1
Street Fighter IV,2005-2010,Capcom,Fighting,3D,PlayStation3,2  Online,94,7.3
Celeste,2015-2020,MattMakesGamesInc.,Platformer,2D,XboxOne,No Online Multiplayer,94,6.4
Super Mario Advance 4: Super Mario Bros. 3,2000-2005,Nintendo,Platformer,2D,GameBoyAdvance,1 to 4,94,8.9
Jet Grind Radio,1995-2000,Sega,Platformer,3D,Dreamcast,not specified,94,8.0
Metal Gear Solid,1995-2000,Konami,Action Adventure,Stealth,PlayStation,1 Player,94,9.2
Grim Fandango,1995-2000,LucasArts,Adventure,3D,PC,No Online Multiplayer,94,9.1
Tom Clancy's Splinter Cell Chaos Theory,2000-2005,Ubisoft,Action Adventure,Stealth,Xbox,4  Online,94,8.9
Burnout 3: Takedown,2000-2005,EA,Racing,Arcade,Xbox,8  Online,94,7.4
Diablo,1995-2000,Blizzard,Action RPG,Fantasy,PC,1 to 4,94,8.7
Metal Gear Solid 3: Subsistence,2005-2010,Konami,Action Adventure,Stealth,PlayStation2,8  Online,94,9.0
