title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
Overwatch,2015-2020,Blizzard,FPS,Tactical,PC,1 to 12,91,6.7
F1 Challenge '99-'02,2000-2005,EA,Racing,FormulaOne,PC,1 to 8,91,8.0
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,GameCube,1 to 8,91,8.5
Madden NFL 2001,1995-2000,EA,Sports,Football,PlayStation2,1 to 8,91,7.8
Baldur's Gate,1995-2000,Interplay,RPG,Fantasy,PC,Online Multiplayer,91,8.9
Bayonetta 2,2010-2015,Nintendo,Action Adventure,Fantasy,WiiU,No Online Multiplayer,91,9.0
The Witcher 3: Wild Hunt,2010-2015,CDProjectRedStudio,Action RPG,Open-World,XboxOne,No Online Multiplayer,91,9.2
Rock Band 3,2005-2010,MtvGames,Rhythm,Music,PlayStation3,not specified,91,8.0
Klonoa 2: Lunatea's Veil,2000-2005,Bandai,Platformer,3D,PlayStation2,1 Player,91,9.0
IL-2 Sturmovik,2000-2005,Ubisoft,Simulation,Flight,PC,1 to 32,91,8.7
Mario Tennis,1995-2000,Nintendo,Sports,Tennis,Nintendo64,not specified,91,8.9
FreeSpace 2,1995-2000,Interplay,Simulation,Sci-Fi,PC,1 to 8,91,8.8
Colony Wars,1995-2000,SonyInteractiveEntertainment,Simulation,Sci-Fi,PlayStation,1 Player,91,8.0
Metal Gear Solid V: The Phantom Pain,2010-2015,Konami,Action Adventure,Open-World,PC,1 to 16,91,7.8
Ratchet & Clank: Up Your Arsenal,2000-2005,SonyInteractiveEntertainment,Platformer,3D,PlayStation2,8  Online,91,9.2
Resident Evil,2000-2005,Capcom,Action Adventure,Horror,GameCube,1 Player,91,9.3
FIFA Soccer 10,2005-2010,EA,Sports,Soccer,PlayStation3,not specified,91,7.5
Assassin's Creed II,2005-2010,Ubisoft,Action Adventure,Open-World,PlayStation3,No Online Multiplayer,91,8.6
Metal Gear Solid 3: Snake Eater,2000-2005,Konami,Action Adventure,Stealth,PlayStation2,1 Player,91,9.0
Twisted Metal: Black,2000-2005,SonyInteractiveEntertainment,Racing,Car/Combat,PlayStation2,1 to 4,91,8.5
Spyro: Year of the Dragon,1995-2000,SonyInteractiveEntertainment,Platformer,3D,PlayStation,1 Player,91,8.9
Tomb Raider,1995-2000,EidosInteractive,Action Adventure,Modern,PlayStation,1 Player,91,8.5
Overwatch,2015-2020,Blizzard,FPS,Tactical,XboxOne,1 to 12,91,5.8
Resident Evil 4: Wii Edition,2005-2010,Capcom,Action Adventure,Horror,Wii,No Online Multiplayer,91,9.0
Shadow of the Colossus,2000-2005,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation2,1 Player,91,9.1
Forza Horizon 3,2015-2020,XboxGamesStudios,Racing,GT/Street,XboxOne,1 to 12,91,8.0
Peggle,2005-2010,EA,Puzzle,Fantasy,PlayStation3,not specified,91,7.3
The Legend of Zelda: Ocarina of Time / Master Quest,2000-2005,Nintendo,Action Adventure,Fantasy,GameCube,1 Player,91,8.9
Borderlands 2,2010-2015,Gearbox,FPS,Sci-Fi,PlayStation3,1 to 4,91,8.2
Tom Clancy's Splinter Cell,2000-2005,Ubisoft,Action Adventure,Stealth,PC,No Online Multiplayer,91,8.5
Kentucky Route Zero - Act III,2010-2015,AnnapurnaInteractive,Adventure,General,PC,not specified,91,6.6
NCAA Football 2003,2000-2005,EA,Sports,Football,PlayStation2,1 to 8,91,8.4
Crysis,2005-2010,EA,FPS,Sci-Fi,PC,No Online Multiplayer,91,8.0
Ninja Gaiden,2000-2005,Tecmo,Action Adventure,Fantasy,Xbox,1 Player,91,8.9
God of War: Chains of Olympus,2005-2010,SonyInteractiveEntertainment,Action Adventure,Fantasy,PSP,No Online Multiplayer,91,8.6
DOA2: Hardcore,1995-2000,Tecmo,Fighting,3D,PlayStation2,1 to 4,91,8.0
World of Warcraft: The Burning Crusade,2005-2010,Blizzard,MMORPG,Fantasy,PC,Massively Multiplayer,91,8.0
MLB 10: The Show,2005-2010,SonyInteractiveEntertainment,Sports,Baseball,PlayStation3,not specified,91,8.2
Shadow of the Colossus,2015-2020,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation4,No Online Multiplayer,91,8.5
Yoshi's Island: Super Mario Advance 3,2000-2005,Nintendo,Platformer,2D,GameBoyAdvance,1 to 4,91,8.9
The Witcher 3: Wild Hunt - Blood and Wine,2015-2020,CDProjectRedStudio,Action RPG,Open-World,PlayStation4,not specified,91,8.8
Tiger Woods PGA Tour 2005,2000-2005,EA,Sports,Golf,PC,1 to 8,91,4.5
ESPN NFL Football,2000-2005,Sega,Sports,Football,Xbox,1 to 4,91,8.7
NCAA Football 2003,2000-2005,EA,Sports,Football,GameCube,1 to 2,91,8.1
The Longest Journey,1995-2000,Funcom,Adventure,Fantasy,PC,1 Player,91,8.8
Tony Hawk's Pro Skater 2,1995-2000,Ubisoft,Sports,Skateboarding,PC,1 to 4,91,8.5
Star Wars Jedi Knight: Dark Forces II,1995-2000,LucasArts,FPS,Sci-Fi,PC,1 to 32,91,8.6
Batman: Arkham Asylum,2005-2010,RocksteadyStudios,Action Adventure,Fantasy,PC,No Online Multiplayer,91,8.7
Halo: Reach,2005-2010,XboxGamesStudios,FPS,Sci-Fi,Xbox360,1 to 4,91,8.1
Galactic Civilizations II: Dark Avatar,2005-2010,Stardock,Strategy,Sci-Fi,PC,1 Player,91,8.3
Mass Effect,2005-2010,EA,Action RPG,Fantasy,Xbox360,No Online Multiplayer,91,8.7
The Operative: No One Lives Forever,1995-2000,Sierra,FPS,Modern,PC,1 to 16,91,8.8
Forza Motorsport 4,2010-2015,XboxGamesStudios,Racing,GT/Street,Xbox360,not specified,91,8.2
Resident Evil,1995-2000,Capcom,Action Adventure,Horror,PlayStation,1 Player,91,9.1
Battlefield 2,2000-2005,EA,FPS,Modern,PC,64  Online,91,8.4
God of War Collection,2005-2010,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation3,No Online Multiplayer,91,8.7
Celeste,2015-2020,MattMakesGamesInc.,Platformer,2D,PlayStation4,No Online Multiplayer,91,6.3
Madden NFL 2005,2000-2005,EA,Sports,Football,PlayStation2,2  Online,91,7.9
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,GameCube,not specified,91,8.8
Street Fighter IV,2005-2010,Capcom,Fighting,3D,PC,2  Online,91,7.9
Fallout 3,2005-2010,BethesdaSoftworks,Action RPG,Modern,PC,No Online Multiplayer,91,7.9
Batman: Arkham City,2010-2015,RocksteadyStudios,Action Adventure,Open-World,PC,not specified,91,8.7
Fez,2010-2015,PolytronCorp.,Platformer,2D,PC,1 Player,91,6.7
Planescape: Torment,1995-2000,BlackIsleStudios,RPG,Fantasy,PC,No Online Multiplayer,91,9.2
Sonic Mania Plus,2015-2020,Sega,Platformer,2D,Switch,1 to 2,91,8.7
Gears of War 3,2010-2015,EpicGames,TPS,Sci-Fi,Xbox360,1 to 10,91,7.9
Killzone 2,2005-2010,SonyInteractiveEntertainment,FPS,Sci-Fi,PlayStation3,32  Online,91,8.1
Neverwinter Nights,2000-2005,EA,RPG,Fantasy,PC,Online Multiplayer,91,8.1
Batman: Arkham Asylum,2005-2010,RocksteadyStudios,Action Adventure,Fantasy,PlayStation3,No Online Multiplayer,91,8.9
Castlevania: Aria of Sorrow,2000-2005,Konami,Platformer,2D,GameBoyAdvance,1 to 2,91,8.8
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2000-2005,Sierra,FPS,Modern,PC,not specified,91,8.7
INSIDE,2015-2020,PLAYDEAD,Platformer,2D,PlayStation4,not specified,91,8.3
Legacy of Kain: Soul Reaver,1995-2000,EidosInteractive,Action Adventure,Horror,PlayStation,1 Player,91,9.0
Dragon Age: Origins,2005-2010,EA,RPG,Fantasy,PC,No Online Multiplayer,91,8.7
Dead Cells,2015-2020,MotionTwin,Action,2D,XboxOne,No Online Multiplayer,91,7.7
Golden Sun,2000-2005,Nintendo,JRPG,Fantasy,GameBoyAdvance,1 to 2,91,9.0
Rayman Legends,2010-2015,Ubisoft,Platformer,2D,PlayStation3,not specified,91,8.7
Mark of the Ninja,2010-2015,XboxGamesStudios,Platformer,2D,PC,No Online Multiplayer,91,8.0
World Soccer Winning Eleven 8 International,2000-2005,Konami,Sports,Soccer,PlayStation2,1 to 8,91,8.4
SteamWorld Heist: Ultimate Edition,2010-2015,Nintendo,Strategy,Turn-Based,Switch,No Online Multiplayer,91,8.5
The Legend of Zelda: A Link Between Worlds,2010-2015,Nintendo,Action RPG,Open-World,3DS,No Online Multiplayer,91,9.0
Dark Souls II,2010-2015,Bandai,Action RPG,Fantasy,PC,1 to 4,91,7.2
Castlevania: Circle of the Moon,2000-2005,Konami,Platformer,2D,GameBoyAdvance,1 Player,91,8.4
Far Cry 3,2010-2015,Ubisoft,FPS,Open-World,Xbox360,1 to 4,91,8.6
Dark Souls II,2010-2015,Bandai,Action RPG,Fantasy,PlayStation3,1 to 4,91,8.1
Shovel Knight: Treasure Trove,2015-2020,YachtClubGames,Platformer,2D,Switch,No Online Multiplayer,91,8.1
flower,2010-2015,SonyInteractiveEntertainment,Adventure,General,PlayStation4,1 Player,91,7.2
Mario Kart DS,2000-2005,Nintendo,Racing,Kart,DS,4  Online,91,8.6
Call of Duty,2000-2005,Activision,FPS,Historic,PC,1 to 32,91,8.5
Madden NFL 2004,2000-2005,EA,Sports,Football,PC,1 to 8,91,7.7
Mario Golf,1995-2000,Nintendo,Sports,Golf,Nintendo64,1 to 4,91,8.0
Crash Bandicoot 3: Warped,1995-2000,SonyInteractiveEntertainment,Platformer,3D,PlayStation,1 Player,91,9.0
Assassin's Creed II,2005-2010,Ubisoft,Action Adventure,Open-World,Xbox360,No Online Multiplayer,90,8.8
Project Gotham Racing 2,2000-2005,XboxGamesStudios,Racing,GT/Street,Xbox,8  Online,90,8.7
NBA 2K12,2010-2015,2kGames,Sports,Basketball,PlayStation3,not specified,90,6.7
The Sims 2,2000-2005,EA,Simulation,VirtualLife,PC,No Online Multiplayer,90,8.8
World of Warcraft: Cataclysm,2005-2010,Blizzard,MMORPG,Fantasy,PC,Massively Multiplayer,90,5.6
Half-Life 2,2000-2005,Valve,FPS,Sci-Fi,Xbox,1 Player,90,8.4
NCAA Football 2003,2000-2005,EA,Sports,Football,Xbox,1 to 4,90,7.9
Rayman 2: The Great Escape,1995-2000,Ubisoft,Platformer,3D,Nintendo64,1 Player,90,9.0
Bayonetta,2005-2010,Nintendo,Action Adventure,Beat-Em-Up,Xbox360,No Online Multiplayer,90,8.1
Diablo III: Ultimate Evil Edition,2010-2015,Blizzard,Action RPG,Fantasy,PlayStation4,1 to 4,90,8.0
Overwatch,2015-2020,Blizzard,FPS,Tactical,PlayStation4,1 to 12,90,6.3
Far Cry 3,2010-2015,Ubisoft,FPS,Open-World,PlayStation3,1 to 4,90,8.5
ICO,2000-2005,SonyInteractiveEntertainment,Action Adventure,Fantasy,PlayStation2,1 Player,90,8.8
Tom Clancy's Ghost Recon Advanced Warfighter,2005-2010,Ubisoft,FPS,Tactical,Xbox360,1 to 16,90,7.9
FIFA Soccer 12,2010-2015,EA,Sports,Soccer,PlayStation3,not specified,90,7.2
World of Goo,2005-2010,Nintendo,Puzzle,General,PC, 1 to 2,90,8.5
Mario & Luigi: Superstar Saga,2000-2005,Nintendo,JRPG,Fantasy,GameBoyAdvance,1 to 4,90,9.1
Shovel Knight,2010-2015,YachtClubGames,Platformer,2D,PlayStation4,not specified,90,7.6
Tony Hawk's Underground,2000-2005,Activision,Sports,Skateboarding,PlayStation2,1 to 8,90,8.7
Marvel vs. Capcom 2,1995-2000,Capcom,Fighting,2D,Dreamcast,not specified,90,8.8
Ape Escape,1995-2000,SonyInteractiveEntertainment,Platformer,3D,PlayStation,1 Player,90,8.6
Syphon Filter,1995-2000,SonyInteractiveEntertainment,TPS,Modern,PlayStation,1 Player,90,8.7
Mario & Luigi: Bowser's Inside Story,2005-2010,Nintendo,JRPG,Fantasy,DS,No Online Multiplayer,90,8.7
Trials Evolution,2010-2015,Ubisoft,Racing,Motorcycle,Xbox360,not specified,90,8.0
Grand Theft Auto IV: The Lost and Damned,2005-2010,RockstarGames,Action Adventure,Open-World,Xbox360,not specified,90,8.0
FIFA Soccer 12,2010-2015,EA,Sports,Soccer,Xbox360,not specified,90,6.7
Spelunky,2010-2015,XboxGamesStudios,Platformer,2D,PC,No Online Multiplayer,90,7.3
FIFA Soccer 10,2005-2010,EA,Sports,Soccer,Xbox360,1 to 20,90,7.5
Ratchet & Clank: Going Commando,2000-2005,SonyInteractiveEntertainment,Platformer,3D,PlayStation2,1 Player,90,9.0
NBA Street Vol. 2,2000-2005,EA,Sports,Basketball,PlayStation2,1 to 4,90,8.6
Tennis 2K2,2000-2005,Sega,Sports,Tennis,Dreamcast,not specified,90,8.2
Black & White,2000-2005,EA,Strategy,Real-Time,PC,not specified,90,7.7
Fallout 3,2005-2010,BethesdaSoftworks,Action RPG,Modern,PlayStation3,No Online Multiplayer,90,7.9
The Legend of Zelda: The Wind Waker HD,2010-2015,Nintendo,Action Adventure,Open-World,WiiU,No Online Multiplayer,90,8.9
ESPN NFL 2K5,2000-2005,2kGames,Sports,Football,PlayStation2,1 to 2,90,8.3
Portal,2005-2010,Valve,Platformer,3D,PC,1 Player,90,9.2
The Legend of Zelda: Phantom Hourglass,2005-2010,Nintendo,Action Adventure,Open-World,DS,1 to 2,90,8.0
MVP Baseball 2004,2000-2005,EA,Sports,Baseball,PlayStation2,1 to 2,90,8.6
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,GameBoyAdvance,not specified,90,8.0
Dance Dance Revolution,2000-2005,Konami,Rhythm,Music,PlayStation,1 to 2,90,8.8
NHL 2001,1995-2000,EA,Sports,Ice Hockey,PC,1 to 8,90,6.9
Advance Wars: Dual Strike,2000-2005,Nintendo,Strategy,Turn-Based,DS,No Online Multiplayer,90,8.9
Rayman Legends,2010-2015,Ubisoft,Platformer,2D,PlayStation4,No Online Multiplayer,90,8.5
MLB 11: The Show,2010-2015,SonyInteractiveEntertainment,Sports,Baseball,PlayStation3,not specified,90,7.8
NieR: Automata - Become as Gods Edition,2015-2020,SquareEnix,Action RPG,Fantasy,XboxOne,No Online Multiplayer,90,8.4
Jak and Daxter: The Precursor Legacy,2000-2005,SonyInteractiveEntertainment,Action,3D,PlayStation2,1 Player,90,8.8
Star Wars Rogue Leader: Rogue Squadron II,2000-2005,EA,Simulation,Sci-Fi,GameCube,1 Player,90,8.6
Monster Hunter: World,2015-2020,Capcom,Action RPG,Fantasy,XboxOne,1 to 16,90,7.2
Stephen's Sausage Roll,2015-2020,increpare,Puzzle,General,PC,No Online Multiplayer,90,5.5
Velocity 2X,2010-2015,Sierra,Action,General,PlayStationVita,not specified,90,7.2
Burnout Revenge,2000-2005,EA,Racing,Arcade,PlayStation2,6  Online,90,8.8
Tony Hawk's Pro Skater 3,2000-2005,Activision,Sports,Skateboarding,PC,1 to 8,90,8.4
NBA 2K2,2000-2005,Sega,Sports,Basketball,GameCube,1 to 4,90,8.0
NCAA Football 2002,2000-2005,EA,Sports,Football,PlayStation2,1 to 8,90,8.5
Unreal Tournament,2000-2005,EpicGames,FPS,Sci-Fi,Dreamcast,not specified,90,8.8
Deus Ex,1995-2000,EidosInteractive,Action Adventure,Stealth,PC,1 Player,90,9.2
Donkey Kong 64,1995-2000,Rare,Platformer,3D,Nintendo64,1 to 4,90,8.6
Panzer Dragoon Orta,2000-2005,Sega,Action,Fantasy,Xbox,1 Player,90,8.6
Dead Cells,2015-2020,MotionTwin,Platformer,2D,Switch,No Online Multiplayer,90,8.6
Portal: Still Alive,2005-2010,Valve,Platformer,Sci-Fi,Xbox360,1 Player,90,8.5
Half-Life 2: Episode Two,2005-2010,Valve,FPS,Sci-Fi,PC,1 Player,90,9.2
Fez,2010-2015,PolytronCorp.,Platformer,2D,PlayStation4,1 Player,90,6.3
Braid,2005-2010,NumberNoneInc,Platformer,2D,PC,1 Player,90,8.6
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,2000-2005,Starbreeze,FPS,Sci-Fi,PC,1 Player,90,8.7
Shin Megami Tensei: Persona 4,2005-2010,Atlus,JRPG,Fantasy,PlayStation2,1 Player,90,8.9
MLB 09: The Show,2005-2010,SonyInteractiveEntertainment,Sports,Baseball,PlayStation3,not specified,90,8.1
Blast Corps,1995-2000,Rare,Action,General,Nintendo64,1 Player,90,8.5
Shovel Knight,2010-2015,YachtClubGames,Platformer,2D,3DS,No Online Multiplayer,90,8.3
MVP Baseball 2004,2000-2005,EA,Sports,Baseball,Xbox,1 to 2,90,8.5
Tony Hawk's Pro Skater 4,2000-2005,Activision,Sports,Skateboarding,Xbox,1 to 2,90,8.5
Sid Meier's Civilization III,2000-2005,FiraxisGames,Strategy,Turn-Based,PC,1 Player,90,8.4
NFL 2K2,2000-2005,Sega,Sports,Football,Dreamcast,not specified,90,7.9
WWF SmackDown! 2: Know Your Role,1995-2000,THQ,Fighting,3D,PlayStation,1 to 4,90,8.7
LIMBO,2005-2010,PLAYDEAD,Platformer,2D,Xbox360,not specified,90,8.4
Mark of the Ninja,2010-2015,XboxGamesStudios,Adventure,2D,Xbox360,1 Player,90,7.4
Silent Hunter III,2000-2005,Ubisoft,Simulation,Horror,PC,8  Online,90,8.0
Bayonetta,2015-2020,Sega,Action Adventure,Linear,PC,No Online Multiplayer,90,8.2
Assassin's Creed: Brotherhood,2005-2010,Ubisoft,Action Adventure,Open-World,PlayStation3,1 to 8,90,8.2
Okami,2005-2010,Capcom,Action Adventure,Fantasy,Wii,No Online Multiplayer,90,8.9
Super Meat Boy,2005-2010,TeamMeat,Platformer,2D,Xbox360,1 Player,90,8.0
Grand Theft Auto: Chinatown Wars,2005-2010,RockstarGames,Action Adventure,Open-World,PSP,not specified,90,7.4
Dead Space 2,2010-2015,EA,TPS,Sci-Fi,Xbox360,1 to 8,90,8.6
Pikmin 2,2000-2005,Nintendo,Strategy,Real-Time,GameCube,1 to 2,90,9.1
Okami HD,2010-2015,Capcom,Action Adventure,Fantasy,PlayStation3,1 Player,90,8.9
NBA 2K17,2015-2020,2kGames,Sports,Basketball,XboxOne,not specified,90,5.9
Madden NFL 2002,2000-2005,EA,Sports,Football,Xbox,1 to 4,90,8.4
Grandia II,1995-2000,Ubisoft,JRPG,Fantasy,Dreamcast,not specified,90,8.6
Geometry Wars: Retro Evolved 2,2005-2010,XboxGamesStudios,Action,Sci-Fi,Xbox360,1 to 4,90,8.3
Sid Meier's Civilization V,2005-2010,FiraxisGames,Strategy,Turn-Based,PC,1 to 4,90,8.0
Super Mario 3D Land,2010-2015,Nintendo,Platformer,3D,3DS,No Online Multiplayer,90,8.4
Mario Kart 8 DLC Pack 2,2010-2015,Nintendo,Racing,Kart,WiiU,not specified,90,8.9
Falcon 4.0: Allied Force,2000-2005,LeadPursuit,Simulation,Combat,PC,16  Online,90,8.6
Deus Ex: Human Revolution,2010-2015,EidosInteractive,Action Adventure,Stealth,PC,No Online Multiplayer,90,8.5
XCOM: Enemy Unknown,2010-2015,FiraxisGames,Strategy,Turn-Based,Xbox360,1 to 2,90,8.3
Metroid Prime 3: Corruption,2005-2010,Nintendo,FPS,Sci-Fi,Wii,No Online Multiplayer,90,8.9
Monster Hunter: World,2015-2020,Capcom,Action RPG,Fantasy,PlayStation4,1 to 4,90,7.8
Flight Simulator 2002,2000-2005,XboxGamesStudios,Simulation,Flight,PC,not specified,90,8.3
Banjo-Tooie,1995-2000,Rare,Platformer,3D,Nintendo64,not specified,90,9.0
Brothers: A Tale of Two Sons,2010-2015,Starbreeze,Action Adventure,Linear,PC,No Online Multiplayer,90,8.6
Dota 2,2010-2015,Valve,Strategy,Real-Time,PC,1 to 10,90,6.5
World Soccer Winning Eleven 8 International,2000-2005,Konami,Sports,Soccer,Xbox,1 to 4,90,8.4
Hollow Knight,2015-2020,TeamCherry,Action Adventure,Fantasy,Switch,No Online Multiplayer,90,8.8
TimeSplitters 2,2000-2005,EidosInteractive,FPS,Sci-Fi,PlayStation2,1 to 16,90,8.8
Guild Wars 2,2010-2015,ArenaNet,MMORPG,Fantasy,PC,Massively Multiplayer,90,8.1
Forza Motorsport 2,2005-2010,XboxGamesStudios,Racing,GT/Street,Xbox360,8  Online,90,8.3
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2010-2015,TelltaleGames,Adventure,Fantasy,PlayStation4,not specified,90,8.0
Pushmo,2010-2015,Nintendo,Puzzle,3D,3DS,1 Player,90,8.3
The Witcher 3: Wild Hunt - Hearts of Stone,2010-2015,CDProjectRedStudio,Action RPG,Open-World,PlayStation4,not specified,90,8.7
Metal Gear Solid HD Collection,2010-2015,Konami,Action Adventure,Stealth,Xbox360,not specified,90,8.7
Viewtiful Joe,2000-2005,CloverStudio,Action,Beat-Em-Up,PlayStation2,1 Player,90,8.3
Madden NFL 2005,2000-2005,EA,Sports,Football,GameCube,1 to 4,90,8.0
Tiger Woods PGA Tour 2003,2000-2005,EA,Sports,Golf,GameCube,1 to 4,90,8.0
Freedom Force,2000-2005,EA,Action RPG,Fantasy,PC,1 to 4,90,7.9
NBA 2K2,2000-2005,Sega,Sports,Basketball,Xbox,1 to 4,90,7.6
Colin McRae Rally 2.0,1995-2000,Ubisoft,Racing,Rally,PlayStation,1 to 2,90,8.2
FIFA Soccer 13,2010-2015,EA,Sports,Soccer,Xbox360,not specified,90,6.2
LIMBO,2010-2015,PLAYDEAD,Platformer,2D,PlayStation3,not specified,90,7.8
GTR 2,2005-2010,SimBin,Racing,GT/Street,PC,24  Online,90,8.7
NBA 2K13,2010-2015,2kGames,Sports,Basketball,PlayStation3,not specified,90,8.0
Grand Theft Auto IV,2005-2010,RockstarGames,Action Adventure,Open-World,PC,1 Player,90,6.7
Total War: Shogun 2,2010-2015,Sega,Strategy,Turn-Based,PC,Online Multiplayer,90,8.4
Empire: Total War,2005-2010,Sega,Strategy,Real-Time,PC,not specified,90,7.0
Rayman Legends,2010-2015,Ubisoft,Platformer,2D,Xbox360,not specified,90,8.2
Bayonetta + Bayonetta 2,2015-2020,Sega,Action Adventure,Fantasy,Switch,No Online Multiplayer,90,8.7
Kentucky Route Zero - Act IV,2015-2020,AnnapurnaInteractive,Adventure,General,PC,not specified,90,6.2
Guacamelee! Super Turbo Championship Edition,2010-2015,DrinkBoxStudios,Platformer,2D,WiiU,not specified,90,7.6
NBA 2K12,2010-2015,2kGames,Sports,Basketball,Xbox360,not specified,90,7.7
ESPN NHL Hockey,2000-2005,Sega,Sports,Ice Hockey,PlayStation2,1 to 8,90,7.0
Rayman 2 Revolution,2000-2005,Ubisoft,Platformer,3D,PlayStation2,1 Player,90,8.4
Madden NFL 2001,1995-2000,EA,Sports,Football,PlayStation,not specified,90,6.8
Final Fantasy VIII,1995-2000,SquareEnix,JRPG,Fantasy,PlayStation,1 Player,90,8.6
Beetle Adventure Racing,1995-2000,EA,Racing,Arcade,Nintendo64,1 to 4,90,7.3
Command & Conquer: Red Alert,1995-2000,EA,Strategy,Real-Time,PC,1 to 6,90,8.8
