id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
75;75;Chrono Cross;2000;SquareEnix;JRPG;Fantasy;PlayStation;94;8.2;1 Player
76;76;BioShock;2008;2kGames;FPS;Sci-Fi;PlayStation3;94;8.7;No Online Multiplayer
77;77;Mass Effect 2;2011;EA;Action RPG;Sci-Fi;PlayStation3;94;8.5;No Online Multiplayer
78;78;Grand Theft Auto: Vice City;2003;RockstarGames;Action Adventure;Open-World;PC;94;8.8;No Online Multiplayer
79;79;Madden NFL 2004;2003;EA;Sports;Football;PlayStation2;94;8.4;1 to 8
80;80;Gears of War;2006;XboxGamesStudios;Action;Sci-Fi;Xbox360;94;8.3;8  Online
81;81;The Elder Scrolls IV: Oblivion;2006;BethesdaSoftworks;Action RPG;Fantasy;Xbox360;94;8.7;No Online Multiplayer
82;82;Sid Meier's Civilization II;1996;MicroProse;Strategy;Historic;PC;94;8.9;1 Player
83;83;Quake;1996;IdSoftware;FPS;Sci-Fi;PC;94;8.8;1 to 16
84;84;Call of Duty 4: Modern Warfare;2007;Activision;FPS;Modern;Xbox360;94;8.5;1 to 18
85;85;BioShock Infinite;2013;2kGames;FPS;Sci-Fi;PC;94;8.6;No Online Multiplayer
86;86;Halo 3;2007;XboxGamesStudios;FPS;Sci-Fi;Xbox360;94;7.9;1 to 4
87;87;Ninja Gaiden Black;2005;Tecmo;Action Adventure;Fantasy;Xbox;94;8.7;1 Player
88;88;The Elder Scrolls IV: Oblivion;2006;BethesdaSoftworks;Action RPG;Fantasy;PC;94;8.1;No Online Multiplayer
89;89;Street Fighter IV;2009;Capcom;Fighting;3D;PlayStation3;94;7.3;2  Online
90;90;Celeste;2018;MattMakesGamesInc.;Platformer;2D;XboxOne;94;6.4;No Online Multiplayer
91;91;Super Mario Advance 4: Super Mario Bros. 3;2003;Nintendo;Platformer;2D;GameBoyAdvance;94;8.9;1 to 4
92;92;Jet Grind Radio;2000;Sega;Platformer;3D;Dreamcast;94;8.0;not specified
93;93;Metal Gear Solid;1998;Konami;Action Adventure;Stealth;PlayStation;94;9.2;1 Player
94;94;Grim Fandango;1998;LucasArts;Adventure;3D;PC;94;9.1;No Online Multiplayer
95;95;Tom Clancy's Splinter Cell Chaos Theory;2005;Ubisoft;Action Adventure;Stealth;Xbox;94;8.9;4  Online
96;96;Burnout 3: Takedown;2004;EA;Racing;Arcade;Xbox;94;7.4;8  Online
97;97;Diablo;1996;Blizzard;Action RPG;Fantasy;PC;94;8.7;1 to 4
98;98;Metal Gear Solid 3: Subsistence;2006;Konami;Action Adventure;Stealth;PlayStation2;94;9.0;8  Online
99;99;Call of Duty: Modern Warfare 2;2009;Activision;FPS;Modern;Xbox360;94;6.4;1 to 18
100;100;Metal Gear Solid 4: Guns of the Patriots;2008;Konami;Action Adventure;Stealth;PlayStation3;94;8.8;1 to 16
101;101;NCAA Football 2004;2003;EA;Sports;Football;PlayStation2;94;8.7;1 to 8
102;102;God of War;2005;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation2;94;8.9;1 Player
103;103;Star Wars: Knights of the Old Republic;2003;LucasArts;Action RPG;Fantasy;Xbox;94;9.0;1 Player
104;104;Sid Meier's Civilization IV;2005;2kGames;Strategy;Historic;PC;94;8.3;12  Online
105;105;Madden NFL 2004;2003;EA;Sports;Football;GameCube;94;7.0;1 to 4
106;106;Virtua Fighter 4;2002;Sega;Fighting;3D;PlayStation2;94;8.1;1 to 2
107;107;Super Mario 64;1996;Nintendo;Platformer;3D;Nintendo64;94;9.2;1 Player
108;108;The Witcher 3: Wild Hunt;2015;CDProjectRedStudio;Action RPG;Fantasy;PC;93;9.3;No Online Multiplayer
109;109;Burnout 3: Takedown;2004;EA;Racing;Arcade;PlayStation2;93;9.0;1 to 16
110;110;Super Smash Bros. Brawl;2008;Nintendo;Fighting;3D;Wii;93;8.9;1 to 4
111;111;Company of Heroes;2006;THQ;Strategy;Historic;PC;93;8.8;8  Online
112;112;Gran Turismo 2;1999;SonyInteractiveEntertainment;Racing;GT/Street;PlayStation;93;9.0;1 to 2
113;113;Tom Clancy's Splinter Cell Pandora Tomorrow;2004;Ubisoft;Action Adventure;Stealth;Xbox;93;8.6;1 to 4
114;114;Grand Theft Auto: Chinatown Wars;2009;RockstarGames;Action Adventure;Open-World;DS;93;8.2;not specified
115;115;Pac-Man Championship Edition DX;2010;Bandai;Puzzle;2D;Xbox360;93;7.8;not specified
116;116;Street Fighter Alpha 3;1999;Capcom;Fighting;2D;PlayStation;93;8.6;1 to 2
117;117;Tony Hawk's Pro Skater 3;2002;Activision;Sports;Skateboarding;Xbox;93;7.9;1 to 4
118;118;Divinity: Original Sin II;2017;LarianStudios;Action RPG;Fantasy;PC;93;8.4;Online Multiplayer
119;119;Unreal Tournament 2004;2004;EpicGames;FPS;Sci-Fi;PC;93;8.8;1 to 32
120;120;BioShock Infinite;2013;2kGames;FPS;Sci-Fi;Xbox360;93;8.5;No Online Multiplayer
121;121;Braid;2008;NumberNoneInc;Platformer;2D;Xbox360;93;8.5;1 Player
122;122;God of War II;2007;SonyInteractiveEntertainment;Action Adventure;Fantasy;PlayStation2;93;8.9;1 Player
123;123;Super Mario 3D World;2013;Nintendo;Platformer;3D;WiiU;93;8.9;No Online Multiplayer
124;124;Starcraft II: Wings of Liberty;2010;Blizzard;Strategy;Sci-Fi;PC;93;8.2;1 to 4
125;125;SSX;2000;EA;Sports;Snowboarding;PlayStation2;93;8.4;1 to 2
126;126;Street Fighter IV;2009;Capcom;Fighting;3D;Xbox360;93;7.3;2  Online
127;127;Minecraft;2009;Mojang;Sandbox;Fantasy;PC;93;7.5;1 to 10
128;128;Persona 5;2017;Atlus;JRPG;Modern;PlayStation4;93;9.1;No Online Multiplayer
129;129;Persona 4 Golden;2012;Atlus;JRPG;Modern;PlayStationVita;93;9.2;1 to 40
130;130;SSX 3;2003;EA;Sports;Snowboarding;PlayStation2;93;9.0;1 to 2
131;131;Tom Clancy's Splinter Cell;2002;Ubisoft;Action Adventure;Stealth;Xbox;93;8.6;1 Player
132;132;Grand Theft Auto III;2002;RockstarGames;Action Adventure;Open-World;PC;93;8.3;No Online Multiplayer
133;133;Quake III Arena;2000;IdSoftware;FPS;Sci-Fi;Dreamcast;93;8.1;not specified
134;134;Homeworld;1999;Relic;Strategy;Real-Time;PC;93;8.9;1 to 8
135;135;Okami;2006;CloverStudio;Action Adventure;Fantasy;PlayStation2;93;9.1;1 Player
136;136;The Elder Scrolls IV: Oblivion;2007;BethesdaSoftworks;Action RPG;Fantasy;PlayStation3;93;8.0;No Online Multiplayer
137;137;Fallout 3;2008;BethesdaSoftworks;Action RPG;Modern;Xbox360;93;8.5;No Online Multiplayer
138;138;Gears of War 2;2008;XboxGamesStudios;Action;Sci-Fi;Xbox360;93;7.7;1 to 2
139;139;SoulCalibur II;2003;Bandai;Fighting;3D;GameCube;93;8.8;1 to 2
140;140;World Soccer Winning Eleven 6 International;2003;Konami;Sports;Soccer;PlayStation2;93;8.4;1 to 8
141;141;NFL 2K3;2002;Sega;Sports;Football;PlayStation2;93;7.4;1 to 2
142;142;Mass Effect 3;2012;EA;Action RPG;Sci-Fi;Xbox360;93;5.9;1 to 4
143;143;Metal Gear Solid V: The Phantom Pain;2015;Konami;Action Adventure;Open-World;PlayStation4;93;8.2;1 to 16
144;144;Skies of Arcadia;2000;Sega;JRPG;Fantasy;Dreamcast;93;8.9;not specified
145;145;The Legend of Zelda: Skyward Sword;2011;Nintendo;Action Adventure;Open-World;Wii;93;8.1;No Online Multiplayer
146;146;Mario Kart Super Circuit;2001;Nintendo;Racing;Kart;GameBoyAdvance;93;8.2;1 to 2
147;147;Rock Band 3;2010;MtvGames;Rhythm;Music;Xbox360;93;8.3;not specified
148;148;Viewtiful Joe;2003;CloverStudio;Action;Beat-Em-Up;GameCube;93;8.3;1 Player
149;149;Test Drive Le Mans;2000;Infogrames;Racing;GT/Street;Dreamcast;93;7.7;not specified
150;150;NBA 2K1;2000;Sega;Sports;Basketball;Dreamcast;93;7.0;not specified
151;151;Castlevania: Symphony of the Night;1997;Konami;Platformer;2D;PlayStation;93;9.2;1 Player
152;152;Star Wars: Knights of the Old Republic;2003;LucasArts;Action RPG;Sci-Fi;PC;93;9.0;No Online Multiplayer
153;153;Virtua Fighter 4: Evolution;2003;Sega;Fighting;3D;PlayStation2;93;8.9;1 to 2
154;154;Uncharted 4: A Thief's End;2016;SonyInteractiveEntertainment;Action Adventure;Linear;PlayStation4;93;8.3;1 to 10
155;155;Braid;2009;NumberNoneInc;Platformer;2D;PlayStation3;93;7.8;1 Player
156;156;Mass Effect 3;2012;EA;Action RPG;Sci-Fi;PlayStation3;93;5.6;1 to 4
157;157;Paper Mario;2001;Nintendo;Action RPG;Fantasy;Nintendo64;93;9.1;not specified
158;158;Wipeout XL;1996;SonyInteractiveEntertainment;Racing;Sci-Fi;PlayStation;93;8.6;1 to 2
159;159;Grand Theft Auto: San Andreas;2005;RockstarGames;Action Adventure;Open-World;Xbox;93;8.7;1 to 2
160;160;INSIDE;2016;PLAYDEAD;Platformer;2D;XboxOne;93;8.2;not specified
161;161;World of Warcraft;2004;Blizzard;MMORPG;Fantasy;PC;93;7.3;Massively Multiplayer
162;162;Grand Theft Auto: San Andreas;2005;RockstarGames;Action Adventure;Open-World;PC;93;8.9;No Online Multiplayer
163;163;Flipnote Studio;2009;Nintendo;General;Application;DS;93;8.4;not specified
164;164;World Soccer Winning Eleven 7 International;2004;Konami;Sports;Soccer;PlayStation2;93;8.8;1 to 8
165;165;NBA 2K2;2001;Sega;Sports;Basketball;Dreamcast;93;7.3;not specified
166;166;SoulCalibur II;2003;Bandai;Fighting;3D;PlayStation2;92;8.8;1 to 2
167;167;The Elder Scrolls V: Skyrim;2011;BethesdaSoftworks;Action RPG;Fantasy;PlayStation3;92;6.5;No Online Multiplayer
168;168;Prince of Persia: The Sands of Time;2003;Ubisoft;Action Adventure;Fantasy;Xbox;92;7.7;1 Player
169;169;Call of Duty 4: Modern Warfare;2007;Activision;FPS;Modern;PC;92;8.5;1 to 18
170;170;Divinity: Original Sin II - Definitive Edition;2018;LarianStudios;Action RPG;Fantasy;PlayStation4;92;8.5;Online Multiplayer
